#k-distance eigenvalue[eV]
2.11050103 -16.49960000
2.12059518 -16.49980000
2.13068934 -16.50010000
2.14078349 -16.50030000
2.15087765 -16.50060000
2.16097180 -16.50090000
2.17106596 -16.50120000
2.18116011 -16.50150000
2.19125426 -16.50180000
2.20134842 -16.50210000
2.21144258 -16.50240000
2.22153673 -16.50270000
2.23163088 -16.50300000
2.24172504 -16.50340000
2.25181919 -16.50370000
2.26191334 -16.50400000
2.27200751 -16.50430000
2.28210166 -16.50460000
2.29219581 -16.50490000
2.30228996 -16.50520000
2.31238412 -16.50550000
2.32247827 -16.50580000
2.33257243 -16.50610000
2.34266659 -16.50630000
2.35276074 -16.50660000
2.36285489 -16.50680000
2.37294904 -16.50700000
2.38304320 -16.50720000
2.39313736 -16.50740000
2.40323151 -16.50750000
2.41332567 -16.50770000
2.42341982 -16.50780000
2.43351397 -16.50790000
2.44360812 -16.50800000
2.45370229 -16.50810000
2.46379644 -16.50810000
2.47389059 -16.50820000
2.48398475 -16.50820000
2.48398475 -16.50820000
2.49418028 -16.50820000
2.50437582 -16.50820000
2.51457136 -16.50820000
2.52476691 -16.50820000
2.53496245 -16.50820000
2.54515799 -16.50810000
2.55535352 -16.50810000
2.56554906 -16.50810000
2.57574460 -16.50810000
2.58594015 -16.50810000
2.59613569 -16.50800000
2.60633123 -16.50800000
2.61652676 -16.50800000
2.62672230 -16.50790000
2.63691784 -16.50790000
2.64711339 -16.50790000
2.65730893 -16.50780000
2.66750446 -16.50780000
2.67770000 -16.50770000
